08 Feb 22:47:43 ::  Train Loss Prior: 2.7794894306697326
08 Feb 22:48:40 ::  Train Loss Prior: 2.776554145488793
08 Feb 22:49:35 ::  Train Loss Prior: 2.7745785899668434
08 Feb 22:50:36 ::  Train Loss Prior: 2.7734708203136593
08 Feb 22:51:39 ::  Train Loss Prior: 2.7700067165753115
08 Feb 22:52:35 ::  Train Loss Prior: 2.7675010663824477
08 Feb 22:53:33 ::  Train Loss Prior: 2.7642939737502563
08 Feb 22:54:35 ::  Train Loss Prior: 2.7618112817857017
08 Feb 22:55:41 ::  Train Loss Prior: 2.758165367547568
08 Feb 22:56:41 ::  Train Loss Prior: 2.7562910558629556
08 Feb 22:57:45 ::  Train Loss Prior: 2.7541824656294325
08 Feb 22:58:47 ::  Train Loss Prior: 2.751495380748185
08 Feb 22:59:48 ::  Train Loss Prior: 2.748151858844379
08 Feb 23:00:55 ::  Train Loss Prior: 2.7455946288856805
08 Feb 23:01:58 ::  Train Loss Prior: 2.7408858619837546
08 Feb 23:03:05 ::  Train Loss Prior: 2.738341272091437
08 Feb 23:04:07 ::  Train Loss Prior: 2.7348178033287645
08 Feb 23:05:23 ::  Train Loss Prior: 2.7325400688444184
08 Feb 23:06:34 ::  Train Loss Prior: 2.729887662803879
08 Feb 23:07:41 ::  Train Loss Prior: 2.7272775186873743
08 Feb 23:08:47 ::  Train Loss Prior: 2.722117092034285
08 Feb 23:09:53 ::  Train Loss Prior: 2.7208608134409014
08 Feb 23:11:05 ::  Train Loss Prior: 2.717794930895214
08 Feb 23:12:14 ::  Train Loss Prior: 2.7156859173370798
08 Feb 23:13:30 ::  Train Loss Prior: 2.7122747773709506
08 Feb 23:14:48 ::  Train Loss Prior: 2.709751540660344
08 Feb 23:16:03 ::  Train Loss Prior: 2.7067955462509463
08 Feb 23:17:17 ::  Train Loss Prior: 2.7051049410414745
08 Feb 23:18:29 ::  Train Loss Prior: 2.7011364485847067
08 Feb 23:19:49 ::  Train Loss Prior: 2.699395956029546
08 Feb 23:21:05 ::  Train Loss Prior: 2.69452256037339
08 Feb 23:22:20 ::  Train Loss Prior: 2.6933944715245692
08 Feb 23:23:31 ::  Train Loss Prior: 2.6895234834705457
08 Feb 23:24:47 ::  Train Loss Prior: 2.687542789472553
08 Feb 23:26:02 ::  Train Loss Prior: 2.683095488407342
08 Feb 23:27:24 ::  Train Loss Prior: 2.6810530169337405
08 Feb 23:28:53 ::  Train Loss Prior: 2.6773748912018087
08 Feb 23:30:21 ::  Train Loss Prior: 2.674994472131004
08 Feb 23:31:45 ::  Train Loss Prior: 2.6713464656333525
08 Feb 23:33:10 ::  Train Loss Prior: 2.6698054317719775
08 Feb 23:34:35 ::  Train Loss Prior: 2.6657830445682094
08 Feb 23:35:57 ::  Train Loss Prior: 2.6643658457635504
08 Feb 23:37:26 ::  Train Loss Prior: 2.6593603237739516
08 Feb 23:38:57 ::  Train Loss Prior: 2.6570044070536736
08 Feb 23:40:29 ::  Train Loss Prior: 2.6535333861101855
08 Feb 23:41:59 ::  Train Loss Prior: 2.6514927162755306
08 Feb 23:43:23 ::  Train Loss Prior: 2.6478480834064753
08 Feb 23:44:47 ::  Train Loss Prior: 2.645817383833691
08 Feb 23:46:16 ::  Train Loss Prior: 2.6415143228514224
08 Feb 23:47:54 ::  Train Loss Prior: 2.640537553709211
08 Feb 23:49:30 ::  Train Loss Prior: 2.636327826751853
08 Feb 23:51:03 ::  Train Loss Prior: 2.6345749802331997
08 Feb 23:52:29 ::  Train Loss Prior: 2.631384849346973
08 Feb 23:54:04 ::  Train Loss Prior: 2.628871414351825
08 Feb 23:55:30 ::  Train Loss Prior: 2.6245971668598265
08 Feb 23:57:01 ::  Train Loss Prior: 2.6230270542049805
08 Feb 23:58:38 ::  Train Loss Prior: 2.618822364171606
09 Feb 00:00:15 ::  Train Loss Prior: 2.616783612596443
09 Feb 00:01:56 ::  Train Loss Prior: 2.6106785375522916
09 Feb 00:03:36 ::  Train Loss Prior: 2.6066791622720005
09 Feb 00:05:18 ::  Train Loss Prior: 2.602686585813318
09 Feb 00:06:57 ::  Train Loss Prior: 2.600371384434402
09 Feb 00:08:37 ::  Train Loss Prior: 2.5960552120245475
09 Feb 00:10:24 ::  Train Loss Prior: 2.5937543852119855
09 Feb 00:12:10 ::  Train Loss Prior: 2.5901692489285133
09 Feb 00:13:47 ::  Train Loss Prior: 2.584276058968533
09 Feb 00:15:25 ::  Train Loss Prior: 2.5795937381844474
09 Feb 00:17:12 ::  Train Loss Prior: 2.5778967860530364
09 Feb 00:18:57 ::  Train Loss Prior: 2.572842578672459
09 Feb 00:20:53 ::  Train Loss Prior: 2.5683980572995524
09 Feb 00:22:44 ::  Train Loss Prior: 2.56301792132939
09 Feb 00:24:31 ::  Train Loss Prior: 2.557597183045887
09 Feb 00:26:21 ::  Train Loss Prior: 2.5528746505331035
09 Feb 00:28:21 ::  Train Loss Prior: 2.5477289870330497
09 Feb 00:30:20 ::  Train Loss Prior: 2.543890608619052
09 Feb 00:32:17 ::  Train Loss Prior: 2.53872275384246
09 Feb 00:34:14 ::  Train Loss Prior: 2.5345138707443287
09 Feb 00:36:17 ::  Train Loss Prior: 2.5303764306081433
09 Feb 00:38:27 ::  Train Loss Prior: 2.525670402235302
09 Feb 00:40:39 ::  Train Loss Prior: 2.5201536536519296
09 Feb 00:42:49 ::  Train Loss Prior: 2.515941939060781
09 Feb 00:45:00 ::  Train Loss Prior: 2.5106879790525443
09 Feb 00:47:14 ::  Train Loss Prior: 2.505976771226622
09 Feb 00:49:22 ::  Train Loss Prior: 2.5022970461845397
09 Feb 00:51:27 ::  Train Loss Prior: 2.496287633475068
09 Feb 00:53:39 ::  Train Loss Prior: 2.4910519265110986
09 Feb 00:55:46 ::  Train Loss Prior: 2.486958641600399
09 Feb 00:57:56 ::  Train Loss Prior: 2.4819999743088768
09 Feb 01:00:20 ::  Train Loss Prior: 2.477574550756694
09 Feb 01:02:46 ::  Train Loss Prior: 2.4722127476019975
09 Feb 01:04:55 ::  Train Loss Prior: 2.4676369072546254
09 Feb 01:07:20 ::  Train Loss Prior: 2.4627242049884637
09 Feb 01:09:30 ::  Train Loss Prior: 2.457960365432324
09 Feb 01:12:00 ::  Train Loss Prior: 2.4537237443046114
09 Feb 01:14:31 ::  Train Loss Prior: 2.4485920542266375
09 Feb 01:17:06 ::  Train Loss Prior: 2.4431843298103995
09 Feb 01:19:35 ::  Train Loss Prior: 2.438924340707546
09 Feb 01:21:58 ::  Train Loss Prior: 2.4345306951338084
09 Feb 01:24:27 ::  Train Loss Prior: 2.4299511010316817
09 Feb 01:26:46 ::  Train Loss Prior: 2.4248491433856425
09 Feb 01:29:28 ::  Train Loss Prior: 2.4201564962842093
09 Feb 01:32:04 ::  Train Loss Prior: 2.415239958573253
09 Feb 01:34:34 ::  Train Loss Prior: 2.410688066458726
09 Feb 01:37:09 ::  Train Loss Prior: 2.4066212753562986
09 Feb 01:39:45 ::  Train Loss Prior: 2.401038327462533
09 Feb 01:42:29 ::  Train Loss Prior: 2.3963351287925208
09 Feb 01:45:09 ::  Train Loss Prior: 2.3920226952703474
09 Feb 01:47:48 ::  Train Loss Prior: 2.3866259816610595
09 Feb 01:50:24 ::  Train Loss Prior: 2.382453440096612
09 Feb 01:53:02 ::  Train Loss Prior: 2.3773330945691162
09 Feb 01:55:48 ::  Train Loss Prior: 2.372280821467555
09 Feb 01:58:35 ::  Train Loss Prior: 2.3675938499210396
09 Feb 02:01:28 ::  Train Loss Prior: 2.3633240104703215
09 Feb 02:04:22 ::  Train Loss Prior: 2.3589729253479876
09 Feb 02:07:19 ::  Train Loss Prior: 2.3550002563123065
09 Feb 02:10:12 ::  Train Loss Prior: 2.3510235082565916
09 Feb 02:12:59 ::  Train Loss Prior: 2.347368745373223
09 Feb 02:15:54 ::  Train Loss Prior: 2.343369819796499
09 Feb 02:18:48 ::  Train Loss Prior: 2.3400396962051557
09 Feb 02:21:46 ::  Train Loss Prior: 2.336261047612209
09 Feb 02:24:48 ::  Train Loss Prior: 2.3313789246575904
09 Feb 02:27:57 ::  Train Loss Prior: 2.326714845577842
09 Feb 02:31:01 ::  Train Loss Prior: 2.322601415638179
09 Feb 02:33:56 ::  Train Loss Prior: 2.3182509367290254
09 Feb 02:36:58 ::  Train Loss Prior: 2.3138571263449195
