08 Feb 22:49:35 ::  Train Loss Value: 0.38134134888607363
08 Feb 22:50:36 ::  Train Loss Value: 0.3952541264669342
08 Feb 22:51:39 ::  Train Loss Value: 0.3898186465401364
08 Feb 22:52:35 ::  Train Loss Value: 0.3869181631852448
08 Feb 22:53:33 ::  Train Loss Value: 0.38175620161928236
08 Feb 22:54:35 ::  Train Loss Value: 0.3885465286153218
08 Feb 22:55:41 ::  Train Loss Value: 0.3827165146926781
08 Feb 22:56:41 ::  Train Loss Value: 0.38809373363163874
08 Feb 22:57:45 ::  Train Loss Value: 0.3898868306725273
08 Feb 22:58:47 ::  Train Loss Value: 0.3865618610049698
08 Feb 22:59:48 ::  Train Loss Value: 0.38469221882319243
08 Feb 23:00:55 ::  Train Loss Value: 0.39040382499989196
08 Feb 23:01:58 ::  Train Loss Value: 0.3961591698328414
08 Feb 23:03:05 ::  Train Loss Value: 0.39366042207993435
08 Feb 23:04:07 ::  Train Loss Value: 0.3911828929976721
08 Feb 23:05:23 ::  Train Loss Value: 0.3904978226245777
08 Feb 23:06:34 ::  Train Loss Value: 0.3886901149590764
08 Feb 23:07:41 ::  Train Loss Value: 0.38830486283424803
08 Feb 23:08:47 ::  Train Loss Value: 0.38504171259659065
08 Feb 23:09:53 ::  Train Loss Value: 0.384928393045838
08 Feb 23:11:05 ::  Train Loss Value: 0.38664608445436127
08 Feb 23:12:14 ::  Train Loss Value: 0.39759457976084994
08 Feb 23:13:30 ::  Train Loss Value: 0.40039267536738643
08 Feb 23:14:48 ::  Train Loss Value: 0.4014686858673312
08 Feb 23:16:03 ::  Train Loss Value: 0.409582050327176
08 Feb 23:17:17 ::  Train Loss Value: 0.4058367456713136
08 Feb 23:18:29 ::  Train Loss Value: 0.4063121891027944
08 Feb 23:19:49 ::  Train Loss Value: 0.4024257420489825
08 Feb 23:21:05 ::  Train Loss Value: 0.4009434025434052
08 Feb 23:22:20 ::  Train Loss Value: 0.39903130680929
08 Feb 23:23:31 ::  Train Loss Value: 0.39576389680923885
08 Feb 23:24:47 ::  Train Loss Value: 0.3930063034164275
08 Feb 23:26:02 ::  Train Loss Value: 0.39239174117669096
08 Feb 23:27:24 ::  Train Loss Value: 0.38940284119955465
08 Feb 23:28:53 ::  Train Loss Value: 0.3890051909090097
08 Feb 23:30:21 ::  Train Loss Value: 0.3894629878376515
08 Feb 23:31:45 ::  Train Loss Value: 0.388746293098909
08 Feb 23:33:10 ::  Train Loss Value: 0.39949168046353106
08 Feb 23:34:35 ::  Train Loss Value: 0.3980682856946129
08 Feb 23:35:57 ::  Train Loss Value: 0.39792725817407704
08 Feb 23:37:26 ::  Train Loss Value: 0.39652100411319713
08 Feb 23:38:57 ::  Train Loss Value: 0.3950974926219698
08 Feb 23:40:29 ::  Train Loss Value: 0.395193720904288
08 Feb 23:41:59 ::  Train Loss Value: 0.39008963950943176
08 Feb 23:43:23 ::  Train Loss Value: 0.3908676563412057
08 Feb 23:44:47 ::  Train Loss Value: 0.3926660683731326
08 Feb 23:46:16 ::  Train Loss Value: 0.39025168228227497
08 Feb 23:47:54 ::  Train Loss Value: 0.39494752098001323
08 Feb 23:49:30 ::  Train Loss Value: 0.4062545560523995
08 Feb 23:51:03 ::  Train Loss Value: 0.40723155794829613
08 Feb 23:52:29 ::  Train Loss Value: 0.40120089108539697
08 Feb 23:54:04 ::  Train Loss Value: 0.39922406996834336
08 Feb 23:55:30 ::  Train Loss Value: 0.3976537937985306
08 Feb 23:57:01 ::  Train Loss Value: 0.3987807963986367
08 Feb 23:58:38 ::  Train Loss Value: 0.3939762781339889
09 Feb 00:00:15 ::  Train Loss Value: 0.39037356877796886
09 Feb 00:01:56 ::  Train Loss Value: 0.3878709597846016
09 Feb 00:03:36 ::  Train Loss Value: 0.3866430446032869
09 Feb 00:05:18 ::  Train Loss Value: 0.38602191100568395
09 Feb 00:06:57 ::  Train Loss Value: 0.3852318782504881
09 Feb 00:08:37 ::  Train Loss Value: 0.38470617678297686
